Timestep,x,y,z,f_Temp[0],time,laser_x,laser_y
22300000,0.0847605,-0.00757849,0.0115754,1000.0,0.0027875,0.09049414679666618,-0.006984848300304267
22400000,0.0874272,-0.00751916,0.0116667,1000.0,0.0028,0.09320017621690506,-0.005498927400549674
22500000,0.090889,-0.00688772,0.0124053,1000.0,0.0028125000000000003,0.09519735888918601,-0.0032487394168035184
22600000,0.0915179,-0.00499146,0.0124987,1000.0,0.0028250000000000003,0.09625502422197346,-0.0005470261773356803
22700000,0.0967891,-0.000534894,0.0097239,1000.0,0.0028375,0.09627308021208407,0.002230715362010601
22800000,0.0967442,0.00324589,0.0102815,1000.0,0.00285,0.095295924707344,0.00469842147067129
22900000,0.0929321,0.00325429,0.0100527,1000.0,0.0028625,0.09350627478253414,0.006513118616821599
23000000,0.0915872,0.00606457,0.0104083,1000.0,0.0028750000000000004,0.09119977185130257,0.007422591560071702
23100000,0.0915872,0.00606457,0.0104083,1000.0,0.0028875000000000003,0.08874389201637363,0.007300437425155817
23200000,0.0874158,0.00603941,0.0101338,1000.0,0.0029000000000000002,0.08652687249301015,0.006163633774731154
23300000,0.0874158,0.00603941,0.0101338,1000.0,0.0029125,0.0849037525543118,0.004170178986971174
23400000,0.0834086,0.000523508,0.0114486,1000.0,0.002925,0.08414702848441129,0.0015971328894993475
23500000,0.0839211,-0.00211739,0.0103276,1000.0,0.0029375,0.08440878074886493,-0.001197890333199212
23600000,0.0839211,-0.00211739,0.0103276,1000.0,0.0029500000000000004,0.08569953712822856,-0.003826425060013336
23700000,0.088398,-0.00346205,0.0103149,1000.0,0.0029625000000000003,0.08788680951704358,-0.005923145032838071
23800000,0.0874272,-0.00751916,0.0116667,1000.0,0.002975,0.09071350775087057,-0.007196638137482414
23900000,0.0895158,-0.00834619,0.0115597,1000.0,0.0029875,0.09383367122010908,-0.0074699082453064496
24000000,0.091673,-0.00714214,0.010553,1000.0,0.003,0.0968605521209688,-0.006704974977004173
